BASE;OLT;RESPONSABLE DE BASE;OneField.Zone;OneField.Cluster;OneField.OLT (AMS);OneField.Observations
BASE LEGBASSITO 1;KOVE1-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 12;KOVE1-FX8;
BASE LEGBASSITO 1;KOVE1-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 13;KOVE1-FX8;
BASE LEGBASSITO 1;KOVE1-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 14;KOVE1-FX8;
BASE LEGBASSITO 1;KOVE1-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 15;KOVE1-FX8;
BASE LEGBASSITO 1;KOVE1-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 16;KOVE1-FX8;
BASE LEGBASSITO 1;KOVE1-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 17;KOVE1-FX8;
BASE LEGBASSITO 1;KOVE1-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 18;KOVE1-FX8;
BASE LEGBASSITO 1;KOVE1-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 19;KOVE1-FX8;
BASE LEGBASSITO 1;KOVE1-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 20;KOVE1-FX8;
BASE LEGBASSITO 1;KOVE1-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 21;KOVE1-FX8;
BASE LEGBASSITO 1;KOVE1-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 22;KOVE1-FX8;
BASE LEGBASSITO 1;KOVE1-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 23;KOVE1-FX8;
BASE LEGBASSITO 1;ZOSSIME-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 1;ZOSSIME-FX8;
BASE LEGBASSITO 1;ZOSSIME-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 10;ZOSSIME-FX8;
BASE LEGBASSITO 1;ZOSSIME-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 11;ZOSSIME-FX8;
