date;active;suspend;temp_deactive;deactive
2026-02-23;50493;13325;23664;91.0
2026-02-22;50879;12980;23617;91.0
2026-02-21;51007;12827;23574;91.0
2026-02-20;51031;12753;23510;92.0
2026-02-16;50230;13263;23360;85.0
2026-02-13;50699;12840;23240;85.0
2026-02-12;50684;12797;23186;85.0
2026-02-11;50705;12725;23133;85.0
2026-02-10;50507;12855;23089;84.0
2026-02-09;50201;13105;23052;84.0
2026-02-08;50592;12763;23003;84.0
2026-02-07;50585;12681;22945;84.0
2026-02-05;50452;12695;22837;83.0
2026-02-04;50525;12579;22765;85.0
2026-01-31;50394;12647;22610;77.0
2026-01-30;50374;12578;22561;77.0
2026-01-29;50361;12478;22523;77.0
2026-01-28;50295;12478;22475;77.0
2026-01-27;50117;12594;22426;77.0
2026-01-23;50547;12085;22221;77.0
2026-01-22;50537;12037;23765;77.0
2026-01-21;50441;12034;23719;45.0
2026-01-20;50305;12097;23649;45.0
2026-01-01;50229;11252;29513;36.0
2025-12-31;50306;11141;29611;35.0
2025-12-30;50000;11331;29567;54.0
2025-12-29;49775;11476;29533;54.0
2025-12-28;50112;11166;29501;54.0
2025-12-27;50140;11104;29463;54.0
2025-12-26;49890;11238;29443;54.0
2025-12-25;49992;11156;29423;54.0
2025-12-24;49758;11258;29412;54.0
2025-12-23;49391;11469;29415;54.0
2025-12-21;49357;11415;29367;54.0
2025-12-20;49324;11426;29317;54.0
2025-12-19;49197;11427;29279;54.0
2025-12-18;49102;11404;29236;56.0
2025-12-17;49031;11333;29199;54.0
2025-12-16;48730;11506;29162;54.0
2025-12-15;48439;11729;29089;54.0
2025-12-14;48724;11479;29054;54.0
2025-12-13;48756;11387;29033;55.0
2025-12-12;48752;11402;28974;54.0
2025-12-10;48750;11282;28876;16.0
2025-12-09;48597;11358;28848;16.0
2025-12-07;48818;11092;28784;16.0
2025-12-06;48792;11072;28739;16.0
2025-12-05;48707;11067;28699;9.0
2025-12-04;48650;11051;28650;7.0
2025-12-03;48631;11003;28609;7.0
2025-12-02;48397;11158;28564;7.0
2025-12-01;48079;11405;28517;7.0
2025-11-30;48439;11079;28481;7.0
