Zone;Cluster;OLT (AMS);Observations
ABLOGAME;ABLOGAME 0;ABLO;
ADAMAVO;ADAMAVO 1;ADAMAVO-FX4_1;
ADAMAVO;ADAMAVO 2;ADAMAVO-FX4_1;
ADAMAVO;ADAMAVO 3;ADAMAVO-FX4_1;
ADAMAVO;ADAMAVO 4;ADAMAVO-FX4_1;
ADAMAVO;ADAMAVO 5;ADAMAVO-FX4_1;
ADAMAVO;ADAMAVO 6;ADAMAVO-FX4_1;Les PBO 81 à 88 sont sur le second OLT
ADAMAVO;ADAMAVO 7;ADAMAVO-FX4_2;
ADAMAVO;ADAMAVO 8;ADAMAVO-FX4_2;
ADAMAVO;ADAMAVO 9;ADAMAVO-FX4_2;
ADETIKOPE;ADETIKOPE 1;ADETICOPE-FX8;
ADETIKOPE;ADETIKOPE 10;ADETICOPE-FX8_2;
ADETIKOPE;ADETIKOPE 11;ADETICOPE-FX8_2;
ADETIKOPE;ADETIKOPE 12;ADETICOPE-FX8_2;
ADETIKOPE;ADETIKOPE 13;ADETICOPE-FX8_2;
ADETIKOPE;ADETIKOPE 14;ADETICOPE-FX8_2;
ADETIKOPE;ADETIKOPE 15;ADETICOPE-FX8_2;
ADETIKOPE;ADETIKOPE 16;ADETICOPE-FX8_2;
ADETIKOPE;ADETIKOPE 17;ADETICOPE-FX8_2;
ADETIKOPE;ADETIKOPE 18;ADETIKOPE_CEG-FX8;
ADETIKOPE;ADETIKOPE 19;ADETIKOPE_CEG-FX8;
ADETIKOPE;ADETIKOPE 2;ADETICOPE-FX8;
ADETIKOPE;ADETIKOPE 20;ADETIKOPE_CEG-FX8;
ADETIKOPE;ADETIKOPE 21;ADETIKOPE_CEG-FX8;
ADETIKOPE;ADETIKOPE 22;ADETIKOPE_CEG-FX8;
ADETIKOPE;ADETIKOPE 23;ADETIKOPE_CEG-FX8;
ADETIKOPE;ADETIKOPE 24;ADETIKOPE_CEG-FX8;
ADETIKOPE;ADETIKOPE 25;ADETIKOPE_CEG-FX8;
ADETIKOPE;ADETIKOPE 26;ADETIKOPE_CEG-FX8;
ADETIKOPE;ADETIKOPE 27;ADETIKOPE_CEG-FX8;
ADETIKOPE;ADETIKOPE 3;ADETICOPE-FX8;
ADETIKOPE;ADETIKOPE 4;ADETICOPE-FX8;
ADETIKOPE;ADETIKOPE 5;ADETICOPE-FX8;
ADETIKOPE;ADETIKOPE 6;ADETICOPE-FX8;
ADETIKOPE;ADETIKOPE 7;ADETICOPE-FX8;
ADETIKOPE;ADETIKOPE 8;ADETICOPE-FX8;
ADETIKOPE;ADETIKOPE 9;ADETICOPE-FX8_2;
ADIDO1;ADIDO1 1;ADIDO1-FX16;
ADIDO1;ADIDO1 10;ADIDO1-FX16;
ADIDO1;ADIDO1 11;ADIDO1-FX16;
ADIDO1;ADIDO1 12;ADIDO1-FX16;
ADIDO1;ADIDO1 13;ADIDO1-FX16;
ADIDO1;ADIDO1 14;ADIDO1-FX16;
ADIDO1;ADIDO1 2;ADIDO1-FX16;
ADIDO1;ADIDO1 3;ADIDO1-FX16;
ADIDO1;ADIDO1 4;ADIDO1-FX16;
ADIDO1;ADIDO1 5;ADIDO1-FX16;
ADIDO1;ADIDO1 6;ADIDO1-FX16;
ADIDO1;ADIDO1 7;ADIDO1-FX16;
ADIDO1;ADIDO1 8;ADIDO1-FX16;
ADIDO1;ADIDO1 9;ADIDO1-FX16;
ADIDO2;ADIDO2 1;ADIDO2-FX16;
ADIDO2;ADIDO2 10;ADIDO2-FX16;
ADIDO2;ADIDO2 11;ADIDO2-FX16;
ADIDO2;ADIDO2 12;ADIDO2-FX16;
ADIDO2;ADIDO2 13;ADIDO2-FX16;
ADIDO2;ADIDO2 14;ADIDO2-FX16;
ADIDO2;ADIDO2 2;ADIDO2-FX16;
ADIDO2;ADIDO2 3;ADIDO2-FX16;
ADIDO2;ADIDO2 4;ADIDO2-FX16;
ADIDO2;ADIDO2 5;ADIDO2-FX16;
ADIDO2;ADIDO2 6;ADIDO2-FX16;
ADIDO2;ADIDO2 7;ADIDO2-FX16;
ADIDO2;ADIDO2 8;ADIDO2-FX16;
ADIDO2;ADIDO2 9;ADIDO2-FX16;
ADIDOGOME;ADIDOGOME 0;ADIDO1;Extension sur ADIDO-7360-FX8
ADJOUGBA;ADJOUGBA 1;ADJOUGBA-FX8;
ADJOUGBA;ADJOUGBA 10;ADJOUGBA-FX8;
ADJOUGBA;ADJOUGBA 2;ADJOUGBA-FX8;
ADJOUGBA;ADJOUGBA 3;ADJOUGBA-FX8;
ADJOUGBA;ADJOUGBA 4;ADJOUGBA-FX8;
ADJOUGBA;ADJOUGBA 5;ADJOUGBA-FX8;
ADJOUGBA;ADJOUGBA 6;ADJOUGBA-FX8;
ADJOUGBA;ADJOUGBA 7;ADJOUGBA-FX8;
ADJOUGBA;ADJOUGBA 8;ADJOUGBA-FX8;
ADJOUGBA;ADJOUGBA 9;ADJOUGBA-FX8;
AEROPORT2;AEROPORT2 1;AEROPORT-FX8;
AEROPORT2;AEROPORT2 10;AEROPORT-FX8;
AEROPORT2;AEROPORT2 11;AEROPORT-FX8;
AEROPORT2;AEROPORT2 12;AEROPORT-FX8;
AEROPORT2;AEROPORT2 13;AEROPORT-FX8;
AEROPORT2;AEROPORT2 14;AEROPORT-FX8;
AEROPORT2;AEROPORT2 2;AEROPORT-FX8;
AEROPORT2;AEROPORT2 3;AEROPORT-FX8;
AEROPORT2;AEROPORT2 4;AEROPORT-FX8;
AEROPORT2;AEROPORT2 5;AEROPORT-FX8;
AEROPORT2;AEROPORT2 6;AEROPORT-FX8;
AEROPORT2;AEROPORT2 7;AEROPORT-FX8;
AEROPORT2;AEROPORT2 8;AEROPORT-FX8;
AEROPORT2;AEROPORT2 9;AEROPORT-FX8;
AFIDENYIGBAN;AFIDENYIGBAN 1;AFIDEGNIGBAN-FX8;
AFIDENYIGBAN;AFIDENYIGBAN 10;AGBODRAFO-FX4;
AFIDENYIGBAN;AFIDENYIGBAN 11;AGBODRAFO-FX4;
AFIDENYIGBAN;AFIDENYIGBAN 12;AGBODRAFO-FX4;
AFIDENYIGBAN;AFIDENYIGBAN 13;AGBODRAFO-FX4;
AFIDENYIGBAN;AFIDENYIGBAN 2;AFIDEGNIGBAN-FX8;
AFIDENYIGBAN;AFIDENYIGBAN 3;AFIDEGNIGBAN-FX8;
AFIDENYIGBAN;AFIDENYIGBAN 4;AFIDEGNIGBAN-FX8;
AFIDENYIGBAN;AFIDENYIGBAN 5;AFIDEGNIGBAN-FX8;
AFIDENYIGBAN;AFIDENYIGBAN 6;AFIDEGNIGBAN-FX8;
AFIDENYIGBAN;AFIDENYIGBAN 7;AFIDEGNIGBAN-FX8;
AFIDENYIGBAN;AFIDENYIGBAN 8;AFIDEGNIGBAN-FX8;
AFIDENYIGBAN;AFIDENYIGBAN 9;AFIDEGNIGBAN-FX8;
AGBALEPEDO;AGBALEPEDO 1;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 10;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 11;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 12;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 13;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 14;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 15;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 16;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 2;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 3;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 4;AGBALEPEDO-FX16;
