name_y;region;ville;Classification
ZONE FH;;;""
ABLOGAME;LOM;Lomé;LOME
ADAMAVO;LOM;Lomé;LOME
ADETIKOPE;LOM;Lomé;LOME
ADIDO1;LOM;Lomé;LOME
ADIDO2;LOM;Lomé;LOME
ADIDOGOME;LOM;Lomé;LOME
ADJOUGBA;LOM;Lomé;LOME
AEROPORT2;LOM;Lomé;LOME
AFIDENYIGBAN;LOM;Lomé;LOME
AGBALEPEDO;LOM;Lomé;LOME
AGODEKA;LOM;Lomé;LOME
AGOE;LOM;Lomé;LOME
AMADA2;LOM;Lomé;LOME
AMADAHOME;LOM;Lomé;LOME
APEDOKOE;LOM;Lomé;LOME
ARMEE;LOM;Lomé;LOME
AVEDJI1;LOM;Lomé;LOME
AVEDJI2;LOM;Lomé;LOME
BAGUIDA;LOM;Lomé;LOME
BAGUIDA3;LOM;Lomé;LOME
BECHATEAU;LOM;Lomé;LOME
BLVD DE LA KARA;LOM;Lomé;LOME
CACAVELI;LOM;Lomé;LOME
CAMPUS;LOM;Lomé;LOME
CITE BOAD;LOM;Lomé;LOME
CITE MILLENIUM;LOM;Lomé;LOME
CITE OUA;LOM;Lomé;LOME
CNSS BAGUIDA;LOM;Lomé;LOME
DICAME;LOM;Lomé;LOME
DJAGBLE;LOM;Lomé;LOME
FOREVER;LOM;Lomé;LOME
GTA;LOM;Lomé;LOME
HEDZRANAWOE;LOM;Lomé;LOME
KEGUE;LOM;Lomé;LOME
KELEGOUGAN;LOM;Lomé;LOME
KLIKAME;LOM;Lomé;LOME
LEGBASSITO;LOM;Lomé;LOME
LOGOPE;LOM;Lomé;LOME
LOME CENTRE;LOM;Lomé;LOME
MADJI;LOM;Lomé;LOME
MINA;LOM;Lomé;LOME
OTI;LOM;Lomé;LOME
PORT;LOM;Lomé;LOME
RESIDENCE DU BENIN;LOM;Lomé;LOME
SAGBADO;LOM;Lomé;LOME
SAINTJO;LOM;Lomé;LOME
SEGBE;LOM;Lomé;LOME
SITO AEROPORT;LOM;Lomé;LOME
SOVIEPE;LOM;Lomé;LOME
TELESSOU;LOM;Lomé;LOME
TOTSI1;LOM;Lomé;LOME
TOTSI2;LOM;Lomé;LOME
UTB;LOM;Lomé;LOME
YOKOE;LOM;Lomé;LOME
ZANGUERA2;LOM;Lomé;LOME
ZANGUERAPEAGE;LOM;Lomé;LOME
ZONGO2;LOM;Lomé;LOME
ZOSSIME;LOM;Lomé;LOME
BLITTA;CEN;Blitta;SUBURBAIN
SOTOUBOUA;CEN;Sotouboua;SUBURBAIN
TCHAMBA;CEN;Tchamba;SUBURBAIN
ATCHANGBADE;KAR;Atchangbade;SUBURBAIN
AWANDJELO;KAR;Awandjelo;SUBURBAIN
BAFILO;KAR;Bafilo;SUBURBAIN
BASSAR;KAR;Bassar;SUBURBAIN
KANTE;KAR;Kandé;SUBURBAIN
NIAMTOUGOU;KAR;Niamtougou;SUBURBAIN
PYA;KAR;Pya;SUBURBAIN
AGBELOUVE;LOM;Lomé;SUBURBAIN
ANEHO;MAR;Aného;SUBURBAIN
TABLIGBO;MAR;Tabligbo;SUBURBAIN
VOGAN;MAR;Vogan;SUBURBAIN
ADETA;PLA;Adéta;SUBURBAIN
AGOU GARE;PLA;Agou-Gadjépé;SUBURBAIN
ANIE;PLA;Anié;SUBURBAIN
KPALIME;PLA;Kpalimé;SUBURBAIN
NOTSE;PLA;Notsé;SUBURBAIN
MANGO;SAV;Mango;SUBURBAIN
SOKODE;CEN;Sokodé;URBAIN
KARA;KAR;Kara;URBAIN
TSEVIE;MAR;Tsévié;URBAIN
ATAKPAME;PLA;Atakpamé;URBAIN
CINKASSE;SAV;Cinkassé;URBAIN
DAPAONG;SAV;Dapaong;URBAIN
